temp,Point ID,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2
0,0,0,0,0
0,1,1,0,0
0,2,2,0,0
0,3,3,0,0
0,4,4,0,0
0,5,5,0,0
0,6,6,0,0
0,7,7,0,0
0,8,8,0,0
0,9,9,0,0
0,10,10,0,0
0,11,11,0,0
0,12,12,0,0
0,13,13,0,0
0,14,14,0,0
0,15,15,0,0
0,16,16,0,0
0,17,17,0,0
0,18,18,0,0
0,19,19,0,0
0,20,20,0,0
0,21,21,0,0
0,22,22,0,0
0,23,23,0,0
0,24,24,0,0
0,25,25,0,0
0,26,26,0,0
0,27,27,0,0
0,28,28,0,0
0,29,29,0,0
0,30,30,0,0
0,31,31,0,0
0,32,32,0,0
0,33,33,0,0
0,34,34,0,0
0,35,35,0,0
0,36,36,0,0
0,37,37,0,0
0,38,38,0,0
0,39,39,0,0
0,40,40,0,0
0,41,41,0,0
0,42,42,0,0
0,43,43,0,0
0,44,44,0,0
0,45,45,0,0
0,46,46,0,0
0,47,47,0,0
0,48,48,0,0
0,49,49,0,0
0,50,50,0,0
0,51,51,0,0
0,52,52,0,0
0,53,53,0,0
0,54,54,0,0
0,55,55,0,0
0,56,56,0,0
0,57,57,0,0
0,58,58,0,0
0,59,59,0,0
0,60,60,0,0
0,61,61,0,0
0,62,62,0,0
0,63,63,0,0
0,64,64,0,0
0,65,65,0,0
0,66,66,0,0
0,67,67,0,0
0,68,68,0,0
0,69,69,0,0
0,70,70,0,0
0,71,71,0,0
0,72,72,0,0
0,73,73,0,0
0,74,74,0,0
0,75,75,0,0
0,76,76,0,0
0,77,77,0,0
0,78,78,0,0
0,79,79,0,0
0,80,80,0,0
0,81,81,0,0
0,82,82,0,0
0,83,83,0,0
0,84,84,0,0
0,85,85,0,0
0,86,86,0,0
0,87,87,0,0
0,88,88,0,0
0,89,89,0,0
0,90,0,1,0
0,91,1,1,0
0,92,2,1,0
0,93,3,1,0
0,94,4,1,0
0,95,5,1,0
0,96,6,1,0
0,97,7,1,0
0,98,8,1,0
0,99,9,1,0
0,100,10,1,0
0,101,11,1,0
0,102,12,1,0
0,103,13,1,0
0,104,14,1,0
0,105,15,1,0
0,106,16,1,0
0,107,17,1,0
0,108,18,1,0
0,109,19,1,0
0,110,20,1,0
0,111,21,1,0
0,112,22,1,0
0,113,23,1,0
0,114,24,1,0
0,115,25,1,0
0,116,26,1,0
0,117,27,1,0
0,118,28,1,0
0,119,29,1,0
0,120,30,1,0
0,121,31,1,0
0,122,32,1,0
0,123,33,1,0
0,124,34,1,0
0,125,35,1,0
0,126,36,1,0
0,127,37,1,0
0,128,38,1,0
0,129,39,1,0
0,130,40,1,0
0,131,41,1,0
0,132,42,1,0
0,133,43,1,0
0,134,44,1,0
0,135,45,1,0
0,136,46,1,0
0,137,47,1,0
0,138,48,1,0
0,139,49,1,0
0,140,50,1,0
0,141,51,1,0
0,142,52,1,0
0,143,53,1,0
0,144,54,1,0
0,145,55,1,0
0,146,56,1,0
0,147,57,1,0
0,148,58,1,0
0,149,59,1,0
0,150,60,1,0
0,151,61,1,0
0,152,62,1,0
0,153,63,1,0
0,154,64,1,0
0,155,65,1,0
0,156,66,1,0
0,157,67,1,0
0,158,68,1,0
0,159,69,1,0
0,160,70,1,0
0,161,71,1,0
0,162,72,1,0
0,163,73,1,0
0,164,74,1,0
0,165,75,1,0
0,166,76,1,0
0,167,77,1,0
0,168,78,1,0
0,169,79,1,0
0,170,80,1,0
0,171,81,1,0
0,172,82,1,0
0,173,83,1,0
0,174,84,1,0
0,175,85,1,0
0,176,86,1,0
0,177,87,1,0
0,178,88,1,0
0,179,89,1,0
0,180,0,2,0
0,181,1,2,0
0,182,2,2,0
0,183,3,2,0
0,184,4,2,0
0,185,5,2,0
